Bill_id,Bill_description,topic_name,classification,qa_review,qa_notes
HB95,"Va. Residential Landlord and Tenant Act; landlord remedies, noncompliance with rental agreement.",Housing,Derived from LIS bill description,,
SB422,Virginia Conservation Easement Act; definition of federally recognized tribe.,Indian Tribes,Derived from LIS bill description,,
HB140,"Federally Recognized Tribes, Commission on; purpose, powers, sunset extended.",Indian Tribes,Derived from LIS bill description,,
SB353,"Consultation with federally recognized tribes; permits and reviews, etc.",Indian Tribes,Derived from LIS bill description,,
HB134,Virginia Conservation Easement Act; definition of federally recognized tribe.,Indian Tribes,Derived from LIS bill description,,
SB481,Emergency services and disaster preparedness programs; inclusion of federally recognized tribes.,Indian Tribes,Derived from LIS bill description,,
HB349,Emergency services and disaster preparedness programs; inclusion of federally recognized tribes.,Indian Tribes,Derived from LIS bill description,,
HB368,"American Indians, Virginia and federally recognized tribes; establishes definitions, sovereignty.",Indian Tribes,Derived from LIS bill description,,
HB367,"Consultation with federally recognized tribes; permits and reviews, etc.",Indian Tribes,Derived from LIS bill description,,
SB356,"American Indians, Virginia and federally recognized tribes; establishes definitions, sovereignty.",Indian Tribes,Derived from LIS bill description,,
SB626,Health insurance; reporting requirements.,Insurance,Derived from LIS bill description,,
SB172,"Health insurance claims; electronic information or attachments accepted, delayed effective date.",Insurance,Derived from LIS bill description,,
SB228,"Localities; liability insurance, certain waiver of sovereign immunity.",Insurance,Derived from LIS bill description,,
SB594,Motor vehicle insurance; unauthorized addition of insured drivers prohibited.,Insurance,Derived from LIS bill description,,
SB535,Nursing homes and certified nursing facilities; required liability insurance coverage.,Insurance,Derived from LIS bill description,,
SB693,"Motor vehicle insurance; unfair discrimination based on individual's consumer credit info., report.",Insurance,Derived from LIS bill description,,
HB227,Line of Duty Act; transitional coverage.,Insurance,Derived from LIS bill description,,
HB618,Health insurance; reporting requirements.,Insurance,Derived from LIS bill description,,
HB424,"Health insurance; definitions, prohibited restrictions on in-network referrals.",Insurance,Derived from LIS bill description,,
HB220,Health insurance; tobacco surcharge.,Insurance,Derived from LIS bill description,,
HB849,"Public school employees; suspension, notice and opportunity for a hearing.",Labor and Employment,Derived from LIS bill description,,
HB478,"Diploma seal for excellence in fine arts; established, industry-recognized workforce credential.",Labor and Employment,Derived from LIS bill description,,
SB114,"Medicaid waivers; consumer-directed services, employer of record.",Labor and Employment,Derived from LIS bill description,,
SB518,"Public works contracts; prevailing wage rate, definitions, civil penalty.",Labor and Employment,Derived from LIS bill description,,
HB18,"Employee Child Care Assistance Program; established, reports.",Labor and Employment,Derived from LIS bill description,,
HB547,Private companies providing public transportation services; employee protections.,Labor and Employment,Derived from LIS bill description,,
HB815,Virginia Health Workforce Development Authority; administration of nursing scholarships.,Labor and Employment,Derived from LIS bill description,,
SB372,"Employment; expands provisions for paid sick leave, civil penalties.",Labor and Employment,Derived from LIS bill description,,
HB243,Corporate welfare tax; imposes on large employers a tax equal to 100% of qualified employee benefit.,Labor and Employment,Derived from LIS bill description,,
HB923,"Protection of employees; stay or pay contracts prohibited, civil penalty.",Labor and Employment,Derived from LIS bill description,,
HB177,Fee for passing bad checks to localities; payment order not paid by recipient.,Local Government,Derived from LIS bill description,,
SB488,Localities; statewide housing targets.,Local Government,Derived from LIS bill description,,
HB262,Minimum parking requirements; prohibition on mandates by localities.,Local Government,Derived from LIS bill description,,
HB14,Virginia Residential Landlord and Tenant Act; enforcement by localities.,Local Government,Derived from LIS bill description,,
HB1341,"Fairfax, City of; amending charter, financial powers.",Local Government,Derived from LIS bill description,,
SB462,"Louisa, Town of; new charter, previous charter repealed.",Local Government,Derived from LIS bill description,,
HB810,"Newport News, City of; amending charter, relating to city council.",Local Government,Derived from LIS bill description,,
HB375,"Manufactured Home Lot Rental Act; right of first refusal, resident entities and localities.",Local Government,Derived from LIS bill description,,
SB733,Local government; appropriation of local school funds to families for compulsory student attendance.,Local Government,Derived from LIS bill description,,
SB581,"Fairfax, City of; amending charter, elections, compensation for members of boards or commissions.",Local Government,Derived from LIS bill description,,
HB73,Juvenile and domestic relations district courts; petitions for relief of care and custody.,Marriage and Domestic Relations,Derived from LIS bill description,,
HB303,"Divorce; adultery, filing, parties living separate and apart, report.",Marriage and Domestic Relations,Derived from LIS bill description,,
HB716,"Income tax, state; innocent spouse tax relief.",Marriage and Domestic Relations,Derived from LIS bill description,,
SR15,Judges; nominations for election to juvenile and domestic relations district court.,Marriage and Domestic Relations,Derived from LIS bill description,,
HR485,Judges; nominations for election to juvenile and domestic relations district court.,Marriage and Domestic Relations,Derived from LIS bill description,,
SB311,"Constitutional amdmnt. marriage between two adult persons, repeal of same-sex marriage prohibition.",Marriage and Domestic Relations,Derived from LIS bill description,,
HJ315,"Election of Circuit Court Judges, General District Court Judges, and Juvenile and Domestic Relations District Court Judges.",Marriage and Domestic Relations,Derived from LIS bill description,,
SB206,Juvenile and domestic relations district courts; petitions for relief of care and custody.,Marriage and Domestic Relations,Derived from LIS bill description,,
HB556,"Divorce decrees; reports, includes social security numbers or other control numbers.",Marriage and Domestic Relations,Derived from LIS bill description,,
HR26,Judges; nominations for election to juvenile and domestic relations district court.,Marriage and Domestic Relations,Derived from LIS bill description,,
SB304,"Va. Retirement System; enhanced retirement benefits for 911 dispatchers, delayed effective date.","Pensions, Benefits, and Retirement",Derived from LIS bill description,,
SB149,State-facilitated IRA savings program; various changes to the program.,"Pensions, Benefits, and Retirement",Derived from LIS bill description,,
HB47,"Income tax, state; subtractions, uniformed services and foreign service retirement benefits.","Pensions, Benefits, and Retirement",Derived from LIS bill description,,
SB148,"Income tax, state; subtraction for tax,  military retirement benefits, uniformed services.","Pensions, Benefits, and Retirement",Derived from LIS bill description,,
HB750,"Va. Retirement System; enhanced retirement benefits for 911 dispatchers, delayed effective date.","Pensions, Benefits, and Retirement",Derived from LIS bill description,,
HB204,Virginia Law Officers' Retirement System; extends membership to emergency dispatchers.,"Pensions, Benefits, and Retirement",Derived from LIS bill description,,
HB176,State-facilitated IRA savings program; various changes to the program.,"Pensions, Benefits, and Retirement",Derived from LIS bill description,,
SB695,"School boards; employment of school resource officers, enhanced retirement benefits.","Pensions, Benefits, and Retirement",Derived from LIS bill description,,
HB585,Va. Retirement System; enhanced retirement benefits for animal control officers and 911 dispatchers.,"Pensions, Benefits, and Retirement",Derived from LIS bill description,,
SB113,"Virginia Retirement System; service retirement allowance, return to work.","Pensions, Benefits, and Retirement",Derived from LIS bill description,,
HB573,"Breast implants; Board of Medicine, et al., to create educational materials for patients.",Professions and Occupations,Derived from LIS bill description,,
HB712,Office-based buprenorphine treatment; Board of Medicine to amend regulations.,Professions and Occupations,Derived from LIS bill description,,
SB641,Office-based buprenorphine treatment; Board of Medicine to amend regulations.,Professions and Occupations,Derived from LIS bill description,,
HB68,"Real property; effect on rate when assessment results in tax increase, consideration of inflation.",Property and Conveyances,Derived from LIS bill description,,
HB175,"Real property; tax exemption, surviving spouses of members of Armed Forces who died in line of duty.",Property and Conveyances,Derived from LIS bill description,,
SB604,"Charitable gaming; common interest communities, bingo.",Property and Conveyances,Derived from LIS bill description,,
HB261,Real property; tax classification of land and improvements in City of Newport News.,Property and Conveyances,Derived from LIS bill description,,
SB334,Conveyances of interests in real property; public hearing required.,Property and Conveyances,Derived from LIS bill description,,
HB798,"Virginia Disposition of Unclaimed Property Act; definitions, digital assets.",Property and Conveyances,Derived from LIS bill description,,
SB647,"Unmanned aircraft systems; use by law-enforcement officers, search warrants.",Public Safety,Derived from LIS bill description,,
SB53,Lighted vehicle headlights; lawful stop by law-enforcement officer.,Public Safety,Derived from LIS bill description,,
HB991,"Income tax, state; subtraction for volunteer firefighters and emergency medical services personnel.",Public Safety,Derived from LIS bill description,,
SB395,"Emergency and temporary detention transportation; clarifies term of  ""law-enforcement officer.""",Public Safety,Derived from LIS bill description,,
HB393,Firefighters Cancer Screening Grant Program and Fund; established.,Public Safety,Derived from LIS bill description,,
HB406,"Workers' compensation; disability of law-enforcement officer, spousal wage replacement, report.",Public Safety,Derived from LIS bill description,,
SB389,"Motor vehicles; use of safety belt systems, exempts certain emergency medical services personnel.",Public Safety,Derived from LIS bill description,,
HB7,"Law-enforcement officers; restrictions on wearing of facial coverings, exceptions, civil liability.",Public Safety,Derived from LIS bill description,,
SB633,Emergency medical services and medical support; VDH to publish resources regarding large events.,Public Safety,Derived from LIS bill description,,
HJ288,Commending the Haymarket Police Department.,Public Safety,Derived from LIS bill description,,
HB866,"Food insecurity/hunger; Department of Social Services, et al., to develop statewide survey, report.",Social Services,Derived from LIS bill description,,
HB18,"Employee Child Care Assistance Program; established, reports.",Social Services,Derived from LIS bill description,,
SB243,"Adult protective services; creates adult abuse, neglect, and exploitation central registry.",Social Services,Derived from LIS bill description,,
SB564,Unlicensed care homes; homes to register with Department of Social Services.,Social Services,Derived from LIS bill description,,
HB651,"Social Services, Department of; family assessments, face-to-face interviews with victim children.",Social Services,Derived from LIS bill description,,
HB371,"End Hunger, Virginia Commission to; changes membership.",Social Services,Derived from LIS bill description,,
SB119,"Employee Child Care Assistance Pilot Program; established, report.",Social Services,Derived from LIS bill description,,
HB727,"Social services, local boards of; appointments, terms of office.",Social Services,Derived from LIS bill description,,
SB97,Hunger-Free Campus Grant Program; establishment of student meal plan credit donation program.,Social Services,Derived from LIS bill description,,
HB674,Department of Health; collection and publication of food insecurity information.,Social Services,Derived from LIS bill description,,
HB54,State Government Internship Coordinator; DHRM to establish and employ.,State Government,Derived from LIS bill description,,
HB81,State agencies; amdnt. of regulations pertaining to maximum temp. at which certain rooms may be kept.,State Government,Derived from LIS bill description,,
HB728,"Health, State Board of; permanent pump and haul of sewage, agritourism",State Government,Derived from LIS bill description,,
HB554,State officers and employees; state agencies to establish alternative work schedules.,State Government,Derived from LIS bill description,,
HB482,"Local and Regional Jails, State Board of; supervision by Office of Dept. of Corrections Ombudsman.",State Government,Derived from LIS bill description,,
SB291,"Health, State Board of, regulations; standards for levels of neonatal care.",State Government,Derived from LIS bill description,,
SJ139,Confirming Governors appointments; February 2.,State Government,Derived from LIS bill description,,
SB816,Employees of state government; personal interest in certain contracts prohibited.,State Government,Derived from LIS bill description,,
SB231,"Community Colleges and Virginia Community College System, State Board for; funding model, report.",State Government,Derived from LIS bill description,,
HB456,"Health, State Board of, regulations; standards for levels of neonatal care.",State Government,Derived from LIS bill description,,
HB432,"Property Appraisal and Valuation Equity, Task Force on; created, report, sunset.","Study Commissions, Committees, and Reports",Derived from LIS bill description,,
HJ26,Light rail operations; Dept. of Rail & Public Transportation to study feasibility.,"Study Commissions, Committees, and Reports",Derived from LIS bill description,,
HB652,Parental prenatal & postnatal substance use; work group to evaluate Commonwealth's response to use.,"Study Commissions, Committees, and Reports",Derived from LIS bill description,,
SB439,College and Career Ready Virginia Program; advisory committee and work group composition.,"Study Commissions, Committees, and Reports",Derived from LIS bill description,,
HB48,Suicide prevention; VDH to convene work group to develop plan to reduce among at-risk populations.,"Study Commissions, Committees, and Reports",Derived from LIS bill description,,
HB859,Farm to School Program Task Force; membership requirements.,"Study Commissions, Committees, and Reports",Derived from LIS bill description,,
SB98,"Emergency management; work group to evaluate existing needs in the Commonwealth, report.","Study Commissions, Committees, and Reports",Derived from LIS bill description,,
SB133,Parental prenatal & postnatal substance use; work group to evaluate Commonwealth's response to use.,"Study Commissions, Committees, and Reports",Derived from LIS bill description,,
HB969,"Virginia Gun Violence Prevention Center; work group to develop policy, etc., to establish.","Study Commissions, Committees, and Reports",Derived from LIS bill description,,
SB658,"Back-end, opt-out automatic voter registration; work group to study implementation.","Study Commissions, Committees, and Reports",Derived from LIS bill description,,
SB607,"Sales and use tax; additional local tax to support schools, referendum.",Taxes and Revenue,Derived from LIS bill description,,
HB550,Admissions tax in counties; retail sales and use tax dedicated to promotion of tourism.,Taxes and Revenue,Derived from LIS bill description,,
SB661,"Va. Small Business Economic Dev. Act; established, regulation and taxation of skill game machines.",Taxes and Revenue,Derived from LIS bill description,,
SB662,Taxation & revenues; extends sunsets for standard deduction and refundable earned income tax.,Taxes and Revenue,Derived from LIS bill description,,
HB10,Real property tax; classification of land and improvements.,Taxes and Revenue,Derived from LIS bill description,,
HB588,"Income tax, state; subtractions for military benefits.",Taxes and Revenue,Derived from LIS bill description,,
HB958,"Income tax, corporate; taxable income, net operating loss.",Taxes and Revenue,Derived from LIS bill description,,
HB960,"Personal property taxes; valuation, effective clause.",Taxes and Revenue,Derived from LIS bill description,,
HB334,Additional local sales and use tax to support schools; referendum.,Taxes and Revenue,Derived from LIS bill description,,
HB978,"Retail Sales and Use Tax; taxation on various services, includes digital personal property.",Taxes and Revenue,Derived from LIS bill description,,
HB758,"Artificial Intelligence Chatbots and Minors Act; established, prohibited practices, penalties.",Technology and Data,Derived from LIS bill description,,
SB118,"Virginia Lottery; casinos, internet gaming authorized, penalties, delayed effective date.",Technology and Data,Derived from LIS bill description,,
HB161,"Virginia Lottery; internet gaming authorized, definitions, penalties, effective clause.",Technology and Data,Derived from LIS bill description,,
SB730,Sales & use tax on taxable services & digital personal property; taxes levied in certain districts.,Technology and Data,Derived from LIS bill description,,
HB900,Sales & use tax on taxable services & digital personal property; taxes levied in certain districts.,Technology and Data,Derived from LIS bill description,,
HB797,Artificial intelligence; framework for person/entity acting as an independent verification org.,Technology and Data,Derived from LIS bill description,,
HB978,"Retail Sales and Use Tax; taxation on various services, includes digital personal property.",Technology and Data,Derived from LIS bill description,,
HB171,"Student instruction; Internet safety, policy to include key modern digital safety topics.",Technology and Data,Derived from LIS bill description,,
SB673,"Stalking; using electronically transmitted communication, penalty.",Technology and Data,Derived from LIS bill description,,
HB635,"Artificial Intelligence Chatbots Act; established, prohibited practices, penalties.",Technology and Data,Derived from LIS bill description,,
HB819,Pedestrians; walking on roadways that are part of divided highways.,Transportation,Derived from LIS bill description,,
HB446,Virginia Passenger Rail Authority; expands authority to exercise power of eminent domain.,Transportation,Derived from LIS bill description,,
SB145,"Marijuana field test; testimony as to the results; consuming, etc., while in a motor vehicle.",Transportation,Derived from LIS bill description,,
SB445,"Motor Vehicles, Department of;  release of data to certain institutions of higher education, fee.",Transportation,Derived from LIS bill description,,
HB11,"Emergency custody orders; transportation to treatment center, etc.",Transportation,Derived from LIS bill description,,
HB561,"Driving while intoxicated; refusal of tests, repeat offenders, ignition interlocks.",Transportation,Derived from LIS bill description,,
HB812,"Traffic regulation; bicycles, and certain other devices, bicycle signals.",Transportation,Derived from LIS bill description,,
SB396,"Driver's licenses; requirements for initial licensure, persons age 18 to 21.",Transportation,Derived from LIS bill description,,
HB192,General district courts; jurisdictional limits relating to motor vehicle accidents.,Transportation,Derived from LIS bill description,,
HJ14,"Constitutional amendment; tax exemption for motor vehicles owned for personal, noncommercial use.",Transportation,Derived from LIS bill description,,
HB1475,"Virginia Fungi Task Force; established, report.",Agriculture and Food,Derived from LIS bill summary,,
HB1443,"Owners of sewage treatment works; land application, marketing, or distributing of sewage sludge.",Agriculture and Food,Derived from LIS bill summary,,
HB1016,Cats and dogs; Virginia Cooperative Extension Service to create a list of toxic houseplants.,Agriculture and Food,Derived from LIS bill summary,,
HB1435,Agricultural Best Management Practices Cost-Share Program; funds to small farms.,Agriculture and Food,Derived from LIS bill summary,,
HB1316,Removal of clutter; cutting of grass; agricultural use exemption; Planning District 19.,Agriculture and Food,Derived from LIS bill summary,,
HB1091,Right to farm; solar panels.,Agriculture and Food,Derived from LIS bill summary,,
HB1086,"Virginia Public Procurement Act; preference for Virginia goods, school nutrition programs, sunset.",Agriculture and Food,Derived from LIS bill summary,,
HB1502,"Standby generators; DEQ shall conduct a study of generators used by by commercial facilities, etc.",Agriculture and Food,Derived from LIS bill summary,,
HB1169,"Small Farms, Office of, and Virginia Small Farms Fund; established and created, report.",Agriculture and Food,Derived from LIS bill summary,,
HB1375,"Pesticides; manufacture, distribution, use, or sale of paraquat prohibited.",Agriculture and Food,Derived from LIS bill summary,,
HB1045,Va. Alcoholic Beverage Control Authority; annual mixed beverage performing arts facility license.,Alcoholic Beverage and Cannabis Control,Derived from LIS bill summary,,
HB1181,"Alcoholic beverage control; expands definition of special events, mixed beverage caterer's licenses.",Alcoholic Beverage and Cannabis Control,Derived from LIS bill summary,,
HB1484,Alcoholic beverage control; designated outdoor refreshment areas.,Alcoholic Beverage and Cannabis Control,Derived from LIS bill summary,,
HB1197,"Alcoholic beverage control; suspension or revocation of certain retail licenses, reinstatement.",Alcoholic Beverage and Cannabis Control,Derived from LIS bill summary,,
HB1429,"Alcoholic beverage control; definitions, designer and vintage spirit bottles.",Alcoholic Beverage and Cannabis Control,Derived from LIS bill summary,,
HB1343,"Alcoholic beverage control; banquet license, municipality or nonprofit organization.",Alcoholic Beverage and Cannabis Control,Derived from LIS bill summary,,
HB1382,"Members of U.S. Armed Forces, etc.; domicile & residential requirements for annulment, etc.",Armed Forces,Derived from LIS bill summary,,
HB1167,Public school funding; composite index of local ability-to-pay; calculation.,Armed Forces,Derived from LIS bill summary,,
HB1063,"Opioid antagonist; distribution program, reports.",Behavioral Health,Derived from LIS bill summary,,
HB1105,Misdemeanor proceedings; competency treatment.,Behavioral Health,Derived from LIS bill summary,,
HB1292,"Temporary detention; certified evaluators, sunset extended.",Behavioral Health,Derived from LIS bill summary,,
HB1462,Medicaid and health insurance plans; supervised billing.,Behavioral Health,Derived from LIS bill summary,,
HB1400,Health insurance; coverage for maternal mental health screenings.,Behavioral Health,Derived from LIS bill summary,,
HB1432,"Marijuana or marijuana products; underage possession, consequences, procedures.",Behavioral Health,Derived from LIS bill summary,,
HB1318,Hospitals; emergency department physicians.,Behavioral Health,Derived from LIS bill summary,,
HB1423,"Group homes; DBHDS to analyze oversight and accountability, report.",Behavioral Health,Derived from LIS bill summary,,
HB1113,Culturally responsive & language-appropriate mental health support & services; guidance & policies.,Behavioral Health,Derived from LIS bill summary,,
HB1370,Service providers; regulations for providers to individuals with developmental disabilities.,Behavioral Health,Derived from LIS bill summary,,
HB1331,"School division accessibility challenges and barriers; summary and plan, report.",Budget and Appropriations,Derived from LIS bill summary,,
HB1221,"Higher ed. financial aid programs; amends provisions, Va. Commonwealth Award established, report.",Budget and Appropriations,Derived from LIS bill summary,,
HB1001,"Virginia College Access and Affordability Scholarship Fund; established, report.",Budget and Appropriations,Derived from LIS bill summary,,
HB1208,"Public education; early childhood care and education, child care access calculations, report.",Budget and Appropriations,Derived from LIS bill summary,,
HB1373,Regional special ed.; DOE to assess enhancements & strategies to maximize use of funds for students.,Budget and Appropriations,Derived from LIS bill summary,,
HB1249,"Creative Economy Task Force; established, strategic plan, report, sunset.",Budget and Appropriations,Derived from LIS bill summary,,
HB1018,"Veterans & Defense Affairs, Sec. of; study to recommend plan to guide legislation rel. to veterans.",Budget and Appropriations,Derived from LIS bill summary,,
HB1258,"Pass-through limitation tax credit; report, penalty.",Budget and Appropriations,Derived from LIS bill summary,,
HB1153,"Community Builders Pilot Program; name change, statewide demonstration model site, repeals sunset.",Budget and Appropriations,Derived from LIS bill summary,,
HB1041,"DOC; powers and duties of Director, Virginia Prison Education Task Force established, report.",Budget and Appropriations,Derived from LIS bill summary,,
HB1500,Civil and criminal actions; service of subpoena for certain electronic records.,Business and Commerce,Derived from LIS bill summary,,
HB1239,"Va. Public Procurement Act; methods of procurement, competitive sealed bids negotiation exemption.",Business and Commerce,Derived from LIS bill summary,,
HB1431,Gift certificates; redeemable cash value.,Business and Commerce,Derived from LIS bill summary,,
HB1259,Virginia Residential Landlord and Tenant Act; mold remediation.,Business and Commerce,Derived from LIS bill summary,,
HB1133,Virginia Solar Energy and Battery Energy Storage Systems Program; established.,Business and Commerce,Derived from LIS bill summary,,
HB1141,Electric utilities; suspension of certain requirements.,Business and Commerce,Derived from LIS bill summary,,
HB1289,"Geology; added  to definition of ""professional services,"" continuing education.",Business and Commerce,Derived from LIS bill summary,,
HB1308,Virginia Public Procurement Act; adds to definition of professional services.,Business and Commerce,Derived from LIS bill summary,,
HB1183,Comprehensive community colleges; machinery and equipment for courses and programs.,Business and Commerce,Derived from LIS bill summary,,
HB1022,"Consumer protection; automatic renewal or continuous service offers, disclosure and cancellation.",Business and Commerce,Derived from LIS bill summary,,
HB1384,"Constitutional amendment; gen. approp. act, reapportionment, redistricting congressional districts.",Constitutional Amendments,Derived from LIS bill summary,,
HB1516,Appointment of administrator; property damage claims.,Courts and Civil Law,Derived from LIS bill summary,,
HB1271,Health insurance; pharmacy benefits managers; requirements and prohibited conduct.,Courts and Civil Law,Derived from LIS bill summary,,
HB1408,"Virginia Residential Landlord and Tenant Act; landlord remedies, rental agreement noncompliance.",Courts and Civil Law,Derived from LIS bill summary,,
HB1457,"Vehicle weight limits; violations, owner or lessee of commercial motor vehicle hauling coal.",Courts and Civil Law,Derived from LIS bill summary,,
HB1299,"Rules of construction; use of ""shall,"" effective clause, report.",Courts and Civil Law,Derived from LIS bill summary,,
HB1479,Punitive damages; hit and run drivers.,Courts and Civil Law,Derived from LIS bill summary,,
HB1361,"Virginia Residential Landlord & Tenant Act; civil action for unlawful detainer, termination notice.",Courts and Civil Law,Derived from LIS bill summary,,
HB1237,"Cemeteries; maintenance of abandoned or neglected graveyards, owner unknown.",Courts and Civil Law,Derived from LIS bill summary,,
HB1207,"Paid family & med. leave insurance program; definitions, notice requirements, civil action, report.",Courts and Civil Law,Derived from LIS bill summary,,
HB1302,Jurisdiction of district courts; assault and battery of a family or household member.,Courts and Civil Law,Derived from LIS bill summary,,
HB1294,"Use of artificial intelligence-based tools; covered artificial intelligence, disclosure of use.",Criminal Justice,Derived from LIS bill summary,,
HB1131,Elections; identification containing a photograph required and excuse required to vote absentee.,Criminal Justice,Derived from LIS bill summary,,
HB1028,"Search warrant; search of place of abode, copy of affidavit to be part of warrant.",Criminal Justice,Derived from LIS bill summary,,
HB1060,"Foster and adoptive homes; barrier crimes, exceptions.",Criminal Justice,Derived from LIS bill summary,,
HB1387,Teaching licenses; automatic revocation upon certain convictions.,Criminal Justice,Derived from LIS bill summary,,
HB1326,"Geriatric prisoners; conditional release, Parole Board shall promulgate regulations.",Criminal Justice,Derived from LIS bill summary,,
HB1482,"Law-enforcement officers; restrictions on wearing of facial coverings, exceptions, penalty.",Criminal Justice,Derived from LIS bill summary,,
HB1029,"Criminal complaint, warrant, summons, etc.; temporary sealing.",Criminal Justice,Derived from LIS bill summary,,
HB1508,VSP; responsible for investigating alleged serious violent incident resulting in death of an inmate.,Criminal Justice,Derived from LIS bill summary,,
HB1084,Adults charged with criminal offenses punishable by incarceration; Va. Longitudinal Data System.,Criminal Justice,Derived from LIS bill summary,,
HB1101,Local composite index school funding formula; data center revenue.,Data Centers,Derived from LIS bill summary,,
HB1132,Data center tax revenue; creates local residential renewable energy incentive program.,Data Centers,Derived from LIS bill summary,,
HB1515,Local approval of data centers; temporary moratorium.,Data Centers,Derived from LIS bill summary,,
HB1530,Transformer Manufacturing Expansion Grant Fund; created.,Economic Development,Derived from LIS bill summary,,
HB1076,Pharmaceutical Substance Manufacturing Grant Fund; created.,Economic Development,Derived from LIS bill summary,,
HB1475,"Virginia Fungi Task Force; established, report.",Economic Development,Derived from LIS bill summary,,
HB1033,Va. Economic Dev. Partnership Authority; Division of Incentives; due diligence for major projects.,Economic Development,Derived from LIS bill summary,,
HB1531,Solid Rocket Motor Manufacturing Grant Fund; created.,Economic Development,Derived from LIS bill summary,,
HB1138,Economic development incentives; wage requirements.,Economic Development,Derived from LIS bill summary,,
HB1461,"Income tax, state & corporate; microchip & semiconductor manufacturing & supply chain tax credits.",Economic Development,Derived from LIS bill summary,,
HB1208,"Public education; early childhood care and education, child care access calculations, report.",Economic Development,Derived from LIS bill summary,,
HB1493,"Economic development incentives; procedures for certain acts, economic development authorities.",Economic Development,Derived from LIS bill summary,,
HB1473,"Higher educational institutions, public; restrictions on student speech, limitations.",Education,Derived from LIS bill summary,,
HB1039,College and Career Ready Virginia Program; advisory committee and work group composition.,Education,Derived from LIS bill summary,,
HB1017,"School boards; excusing students from attendance at school, verified medical reasons.",Education,Derived from LIS bill summary,,
HB1377,VMI; Bd. of Visitors to examine higher education at the Institute.,Education,Derived from LIS bill summary,,
HB1460,"Public school teacher licensure requirement; comprehensive review of alt. licensure pathway, report.",Education,Derived from LIS bill summary,,
HB1306,"Virginia Retirement System; return to work, break in service.",Education,Derived from LIS bill summary,,
HB1136,Centralized mobile food units; VDH to study to determine viability of establishing an office.,Education,Derived from LIS bill summary,,
HB1153,"Community Builders Pilot Program; name change, statewide demonstration model site, repeals sunset.",Education,Derived from LIS bill summary,,
HB1452,"Medicaid; expedited review process for service authorization requests, report.",Education,Derived from LIS bill summary,,
HB1041,"DOC; powers and duties of Director, Virginia Prison Education Task Force established, report.",Education,Derived from LIS bill summary,,
HB1002,"Utilities, certain; notice procedures for nonpayment.",Elections and Voting,Derived from LIS bill summary,,
HB1447,Corporations and other entities; authority to engage in election activity or ballot-issue activity.,Elections and Voting,Derived from LIS bill summary,,
HB1384,"Constitutional amendment; gen. approp. act, reapportionment, redistricting congressional districts.",Elections and Voting,Derived from LIS bill summary,,
HB1014,Incapacitated persons; finding of lack of capacity to understand act of voting.,Elections and Voting,Derived from LIS bill summary,,
HB1185,Campaign finance; campaign depositories.,Elections and Voting,Derived from LIS bill summary,,
HB1107,"Virginia Retirement System; service retirement allowance, members who return to work.",Elections and Voting,Derived from LIS bill summary,,
HB1263,"Public employees; repeals existing prohibition on collective bargaining, etc.",Elections and Voting,Derived from LIS bill summary,,
HB1056,Voter registration by political party affiliation; partially closed primary elections.,Elections and Voting,Derived from LIS bill summary,,
HB1483,"Local government; elections, single-member districts required.",Elections and Voting,Derived from LIS bill summary,,
HB1442,"Polling places; prohibited activities, acts in furtherance of federal immigration laws.",Elections and Voting,Derived from LIS bill summary,,
HB1184,Electric utilities; retirement of certain electric generating units.,Energy and Utilities,Derived from LIS bill summary,,
HB1141,Electric utilities; suspension of certain requirements.,Energy and Utilities,Derived from LIS bill summary,,
HB1133,Virginia Solar Energy and Battery Energy Storage Systems Program; established.,Energy and Utilities,Derived from LIS bill summary,,
HB1361,"Virginia Residential Landlord & Tenant Act; civil action for unlawful detainer, termination notice.",Energy and Utilities,Derived from LIS bill summary,,
HB1077,"Electric utilities; SCC to investigate financial incentives, renewable energy portfolio standard.",Energy and Utilities,Derived from LIS bill summary,,
HB1106,"Electric utilities; renewable energy portfolio standard eligible sources, etc.",Energy and Utilities,Derived from LIS bill summary,,
HB1491,"Electric utilities; construction of new overhead transmission lines, siting requirements.",Energy and Utilities,Derived from LIS bill summary,,
HB1372,"Solar energy facilities; prevailing wage & apprenticeship requirements, state & local tax exemption.",Energy and Utilities,Derived from LIS bill summary,,
HB1515,Local approval of data centers; temporary moratorium.,Energy and Utilities,Derived from LIS bill summary,,
HB1081,"Working Lands Preservation, Office of; powers and duties, small renewable energy projects fees.",Energy and Utilities,Derived from LIS bill summary,,
HB1126,Native migratory fish; protection.,Environment and Conservation,Derived from LIS bill summary,,
HB1345,Public schools; industry-recognized uniform inspection and evaluation of indoor air quality.,Environment and Conservation,Derived from LIS bill summary,,
HB1031,"Electric utilities; RPS requirements, Air Pollution Control Board regulations.",Environment and Conservation,Derived from LIS bill summary,,
HB1475,"Virginia Fungi Task Force; established, report.",Environment and Conservation,Derived from LIS bill summary,,
HB1169,"Small Farms, Office of, and Virginia Small Farms Fund; established and created, report.",Environment and Conservation,Derived from LIS bill summary,,
HB1148,"Middle Peninsula Chesapeake Bay Pub. Access Authority; public purpose, submerged aquatic vegetation.",Environment and Conservation,Derived from LIS bill summary,,
HB1266,Environmental Justice in Permitting Process Guidance Memo; DEQ to publish an updated version.,Environment and Conservation,Derived from LIS bill summary,,
HB1037,"Science SOL & Curriculum Framework; instructional material to include climate change, etc.",Environment and Conservation,Derived from LIS bill summary,,
